molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL346460,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)NCC,N1CCCC1,regression,strict,train,False,6.455931955649724,active
CHEMBL3301646,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)NCc1ccccc1,O(Cc1ccccc1)C2CNC(CNNCNCc3ccccc3)C2,regression,strict,train,False,6.229147988357855,active
CHEMBL347015,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)C(=O)C(N)=O,O(Cc1ccccc1)CCCNCCc2ccccc2,regression,strict,train,False,7.5376020021010435,active
CHEMBL348546,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)C)C(C)(C)C)C(=O)C(N)=O,c1ccccc1,regression,strict,test,False,7.698970004336019,active
CHEMBL347708,CCCC[C@H](NC(=O)[C@H](Cc1ccsc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)C(=O)C(N)=O,s1ccc(c1)CCNCCNCCCc2ccccc2,regression,strict,train,False,6.886056647693163,active
CHEMBL348896,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)OC,N1CCCC1,regression,strict,train,False,5.36251027048749,intermediate
CHEMBL349198,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)C(=O)C1CC=CCC1,C1=CCC(CC1)CCCNCC2NCCC2,regression,strict,train,False,5.373659632624958,intermediate
CHEMBL348722,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(=O)NC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(CCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.7447274948966935,active
CHEMBL349586,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCC(=O)O)C(C)(C)C)C(=O)C(N)=O,c1ccc(cc1)CCNCCNCCCc2c[nH]c3ccccc32,regression,strict,train,False,7.387216143280264,active
CHEMBL350398,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(=O)N(C)C)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(CCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,5.835647144215563,intermediate
CHEMBL350799,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)c2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,5.468521082957745,intermediate
CHEMBL350871,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccc(F)cc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,5.987162775294828,intermediate
CHEMBL349862,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2-c2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4-c5ccccc5)CC3CNCB6OC7CC8CC(C8)C7O6,regression,strict,train,False,4.522878745280337,inactive
CHEMBL350980,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(=O)OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(CCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,7.0,active
CHEMBL351077,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2SC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.1487416512809245,active
CHEMBL351223,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.102372908709558,active
CHEMBL351266,C=CCC(NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(=O)C(=O)CC(C)C,N1CCCC1,regression,strict,train,False,4.522878745280337,inactive
CHEMBL351702,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C)C(C)C,N1CCCC1,regression,strict,train,False,5.6020599913279625,intermediate
CHEMBL351389,C=CCNC(=O)C(=O)C(CC=C)NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(C)C)C(C)C,N1CCCC1,regression,strict,train,False,6.2441251443275085,active
CHEMBL351341,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)c1ccccc1)C(=O)C(N)=O,c1ccc(cc1)CNCCCc2ccccc2,regression,strict,train,False,7.376750709602099,active
CHEMBL352130,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2C)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.107905397309519,active
CHEMBL352719,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2C(=O)OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,7.096910013008056,active
CHEMBL352843,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2cccc(F)c2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.301029995663981,active
CHEMBL354460,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.443697499232712,active
CHEMBL354665,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)NCc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(NCNCc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,5.920818753952375,intermediate
CHEMBL354990,CCOC(=O)c1ccc(NC(=O)N[C@]2(C)C[C@@H](C(=O)N[C@@H](CC)B3OC4C5CC(C[C@]4(C)O3)C5(C)C)n3c2ncc(NCc2cccc(C(F)(F)F)c2)c3=O)cc1,N=1C=C(NCc2ccccc2)CN3C1C(NCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,5.958607314841775,intermediate
CHEMBL355235,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(CCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,6.698970004336019,active
CHEMBL355383,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2cccc(SC)c2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,N=1C=C(NCc2ccccc2)CN3C1C(CCNc4ccccc4)CC3CNCB5OC6CC7CC(C7)C6O5,regression,strict,train,False,7.045757490560675,active
CHEMBL362443,O=C1NC(=S)S/C1=C/c1cc([N+](=O)[O-])ccc1Sc1ccc(Cl)cc1,S(c1ccccc1)c2ccccc2C=C3SCNC3,regression,strict,train,False,5.494850021680094,intermediate
CHEMBL360983,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C(=O)N1C[C@@H](OCc2ccccc2)C[C@H]1C(=O)NC1(C(=O)O)CC1)C(C)C,O(Cc1ccccc1)C2CN(CCNCCCC3CCCCC3)C(CNC4CC4)C2,regression,strict,train,False,7.292429823902063,active
CHEMBL361930,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)NS(=O)(=O)c1cc(C(=O)O)ccc1Cl,n1ccnc(c1)CNCCNCCNC(CNCCCNCCNSc2ccccc2)CC3CCCCC3,regression,strict,train,False,6.958607314841775,active
CHEMBL366037,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)NS(=O)(=O)C(F)(F)F,n1ccnc(c1)CNCCNCCNCCC2CCCCC2,regression,strict,train,False,6.327902142064283,active
