molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL4213893,CNC(=O)c1c(-c2ccc(Oc3ccc(F)cc3)cc2)oc2cc3c(cc12)C(C)CCCN3S(C)(=O)=O,O(c1ccccc1)c2ccc(cc2)-c3oc4cc5NCCCCc5cc4c3,classification,random,test,True,7.853871964321762,active
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,s1cccc1C2N(Cc3ccccc3)CCC2,classification,random,test,True,6.721246399047171,active
CHEMBL4110895,Nc1ccn(C2OC(CO)[C@@H](O)[C@]23CCCO3)c(=O)n1,N1=CC=CN([CH]1)C2OCCC32OCCC3,classification,random,train,True,4.343901797987168,inactive
CHEMBL194448,O=C(O)CCCC(=O)N/C(=C\c1ccc(Oc2ccccc2I)cc1)C(=O)O,O(c1ccccc1)c2ccccc2,classification,random,train,True,6.080921907623926,active
CHEMBL175364,N#CCCCOc1ccc(OCc2ccccc2C#N)cc1/C(O)=C/C(=O)C(=O)O,O(c1ccccc1)Cc2ccccc2,classification,random,train,True,4.301029995663981,inactive
CHEMBL379184,CCOC(=O)COC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,n1cccc2cc(cnc12)C3=Nc4ccccc4SN3,classification,random,train,True,7.214670164989233,active
CHEMBL375133,CC(C)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,n1c2ccccc2n(c1-c3ccc(OCc4ccccc4-c5ccccc5)cc3)C6CCCCC6,classification,random,train,True,7.886056647693163,active
CHEMBL362834,CN(C)C(=O)Cn1c(-c2cccc(Cl)c2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,c1ccc(cc1)-c2[nH]c3ccccc3c2C4CCCCC4,classification,random,train,True,8.346787486224656,active
CHEMBL556442,O=C(CN1C(=O)S/C(=C\c2ccc(Cl)cc2)C1=O)Nc1ccc(Cl)cc1,S1C(=Cc2ccccc2)CN(C1)CCNc3ccccc3,classification,random,train,True,6.678008252452735,active
CHEMBL199153,O=C(O)C(=O)/C=C(\O)c1ccsc1Cc1ccc(F)cc1,s1cccc1Cc2ccccc2,classification,random,test,True,4.7447274948966935,inactive
CHEMBL369640,CC(C)n1c(-c2ccccn2)nc2cc(C(=O)O)ccc21,n1ccccc1-c2nc3ccccc3[nH]2,classification,random,train,True,3.38933983691012,inactive
CHEMBL201601,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(I)ccc21,N=1Sc2ccccc2NC1C3=Cc4ccccc4NC3,classification,random,train,True,5.0,inactive
CHEMBL276969,O=C(O)CN(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1Cl,c1ccc(cc1)CNCc2ccccc2,classification,random,train,True,4.275724130399211,inactive
CHEMBL4474552,CCN(c1cc2oc(-c3ccc(F)cc3)c(C(=O)NC)c2cc1-c1cc(F)c(F)c(C(=O)NC2(c3ncccn3)CC2)c1)S(C)(=O)=O,n1cccnc1C2(NCc3cccc(c3)-c4ccc5oc(cc5c4)-c6ccccc6)CC2,classification,random,train,True,8.045757490560675,active
CHEMBL309579,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1F,n1cnc2c(ncn2C3OCCC3)c1,classification,random,test,True,4.301029995663981,inactive
CHEMBL3121492,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]23CCO3)c(=O)n1,N1=CC=CN([CH]1)C2OCCC32OCC3,classification,random,train,True,4.0,inactive
CHEMBL215351,CCCC1(CCc2ccc(OC)cc2)CC(=O)CC(=O)O1,O1CCCCC1CCc2ccccc2,classification,random,train,True,4.301029995663981,inactive
CHEMBL201332,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1cccc(Br)c1,N=1Sc2ccccc2NC1C3=Cc4ccccc4N(Cc5ccccc5)C3,classification,random,train,True,7.443697499232712,active
CHEMBL363830,CN(C)C(=O)Cn1c(-c2cccnc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,n1cccc(c1)-c2[nH]c3ccccc3c2C4CCCCC4,classification,random,train,True,6.478861916295964,active
CHEMBL210674,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NN4CCC4)ccc3N2)c(O)c2cccnc21,N=1Sc2cc(ccc2NC1c3cnc4ncccc4c3)NSNN5CCC5,classification,random,train,True,7.619788758288394,active
CHEMBL205026,O=C(O)c1nc(-c2ccco2)nc(O)c1O,n1cccnc1-c2occc2,classification,random,train,True,6.619788758288394,active
CHEMBL3930798,COc1nc(N)nc2c1ncn2C1OC(COP(=O)(N[C@@H](C)C(=O)OC2CCCC2)Oc2ccccc2)[C@@H](O)[C@]12CCO2,n1cnc2c(ncn2C3OC(COP(Oc4ccccc4)NCCOC5CCCC5)CC63OCC6)c1,classification,random,train,True,6.346787486224656,active
CHEMBL203426,Nc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC1CC1,N=1Sc2ccccc2NC1C3=Cc4ccccc4N(C3)CCC5CC5,classification,random,train,True,7.494850021680094,active
CHEMBL4644026,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4nc(C)n([C@H](COC)c5ccc(F)cc5)c(=O)c4c3)cc12,N1=CN([CH]c2cc(ccc12)-c3ccc4oc(cc4c3)-c5ccccc5)Cc6ccccc6,classification,random,train,True,9.221848749616356,active
CHEMBL3902137,CCCCOC(=O)[C@H](C)NP(=O)(Oc1cccc2ccccc12)O[C@H](C)[C@H]1O[C@@H](n2cc(F)c3c(N)ncnc32)[C@](C)(O)[C@@H]1O,n1cnc2c(c1)ccn2C3OC(COPOc4cccc5ccccc45)CC3,classification,random,test,True,4.0,inactive
CHEMBL4203126,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)CCCCCCN3S(C)(=O)=O,o1c(cc2cc3c(cc12)NCCCCCC3)-c4ccccc4,classification,random,train,True,7.585026652029182,active
CHEMBL4107955,CC(O)[C@H]1O[C@@H](n2cnc3c(OCc4ccccc4)nc(NC(=O)c4ccccc4)nc32)[C@](C)(F)[C@@H]1O,n1cn(c2nc(nc(OCc3ccccc3)c12)NCc4ccccc4)C5OCCC5,classification,random,train,True,4.853871964321762,inactive
CHEMBL199039,O=C(O)C(=O)/C=C(\O)c1ccco1,o1cccc1,classification,random,train,True,4.301029995663981,inactive
CHEMBL369319,CN(C)C(=O)Cn1c(-c2ccc(OCc3ccccc3)cc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,O(c1ccc(cc1)-c2[nH]c3ccccc3c2C4CCCCC4)Cc5ccccc5,classification,random,train,True,8.585026652029182,active
CHEMBL4107549,CC(O)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(F)[C@@H]1O,n1cnc2c(c1)ccn2C3OCCC3,classification,random,train,True,4.0,inactive
CHEMBL216865,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCN(CCc1ccccc1)c1ccccc1-3,c1ccc(cc1)CCN2c3ccccc3-c4c(c5ccccc5n4CC2)C6CCCCC6,classification,random,train,True,7.585026652029182,active
CHEMBL2236416,N#Cc1c(-c2ccc(Br)cc2)nc(SCc2ccccc2Br)[nH]c1=O,n1ccc(nc1SCc2ccccc2)-c3ccccc3,classification,random,train,True,5.0,inactive
CHEMBL4215462,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O.CCN(CC)CC.CCN(CC)CC.CCN(CC)CC.CCN(CC)CC,[N]1[CH]C=CN([CH]1)C2OCCC2,classification,random,train,True,7.045757490560675,active
CHEMBL3286448,C[C@]12OC[C@](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(O[C@H]1n1cnc3c(=O)[nH]c(N)nc31)[C@H]2O,n1cnc2c(ncn2C3OC4COC3C4)c1,classification,random,train,True,6.318758762624412,active
CHEMBL178443,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccccc1C(F)(F)F,s1cccc1C2N(Cc3ccccc3)CCC2,classification,random,train,True,4.698970004336019,inactive
CHEMBL206047,CCCC1(CC(=O)O)CCCc2c1[nH]c1cc(F)cc(F)c21,c1ccc2c(c1)[nH]c3c2CCCC3,classification,random,train,True,4.522878745280337,inactive
CHEMBL378524,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ncccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,n1cccc(-c2ccccc2)c1COc3ccc(cc3)-c4nc5ccccc5n4C6CCCCC6,classification,random,train,True,6.823908740944319,active
CHEMBL3917174,CCCCOC(=O)[C@H](C)NP(=O)(Oc1cccc2ccccc12)O[C@H](C)[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(O)[C@@H]1O,N1=CC=CN([CH]1)C2OC(COPOc3cccc4ccccc34)CC2,classification,random,train,True,5.0,inactive
CHEMBL4208697,CONC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)CCCCN3S(C)(=O)=O,o1c(cc2cc3c(cc12)NCCCC3)-c4ccccc4,classification,random,train,True,7.508638306165727,active
