molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL2370172,CCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)NC,N1CCCC1,classification,random,train,True,3.795880017344075,inactive
CHEMBL216266,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)NOCc1ccccc1)C(c1ccccc1)c1ccccc1,O(NCCNCC(NCCNCCC(c1ccccc1)c2ccccc2)CC3CCCCC3)Cc4ccccc4,classification,random,test,True,7.397940008672037,active
CHEMBL214100,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CS)C(=O)NCCCc1ccccc1)C(c1ccccc1)c1ccccc1,c1ccc(cc1)CCCNCCNCC(NCCNCCC(c2ccccc2)c3ccccc3)CC4CCCCC4,classification,random,train,True,6.6777807052660805,active
CHEMBL2370173,CCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(N)=O,N1CCCC1,classification,random,train,True,3.0,inactive
CHEMBL2370174,CCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)OC,N1CCCC1,classification,random,train,True,4.769551078621726,inactive
CHEMBL2370176,CCC[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C,N1CCCC1,classification,random,train,True,3.552841968657781,inactive
CHEMBL2370177,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,N1CCCC1,classification,random,test,True,3.10790539730952,inactive
CHEMBL2370178,CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,N1CCCC1,classification,random,train,True,3.6020599913279625,inactive
CHEMBL2370187,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)[C@H](C)CC)C(C)C,N1CCCC1,classification,random,train,True,3.721246399047171,inactive
CHEMBL2370188,CCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)O,N1CCCC1,classification,random,test,True,3.3010299956639813,inactive
CHEMBL2370184,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(=O)NCc1ccccc1,c1ccc(cc1)CNCCCNCC2NCCC2,classification,random,train,True,6.1938200260161125,active
CHEMBL2370191,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(F)(F)C(F)(F)F,N1CCCC1,classification,random,train,True,4.102372908709558,inactive
CHEMBL2370192,CCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)C(F)(F)C(F)(F)F,N1CCCC1,classification,random,train,True,4.920818753952375,inactive
