molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL1490952,CC1(C)CC(=O)c2c(noc2-c2ccccc2)C1,n1oc(-c2ccccc2)c3c1CCCC3,classification,stratified,train,True,4.5,inactive
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,n1ccn(c1)CC2(OCC(O2)COc3ccc(cc3)N4CCNCC4)c5ccccc5,classification,stratified,test,True,7.59,active
CHEMBL1682887,COc1ccc2cc([C@](O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.55,active
CHEMBL1682888,CC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.55,active
CHEMBL1682889,CC(=O)Nc1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.41,active
CHEMBL1682890,CNC(=O)Nc1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,test,True,7.44,active
CHEMBL1682891,COC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.62,active
CHEMBL1682892,CC(C)C(O)(c1ccc2cc(C(N)=O)ccc2c1)c1c[nH]cn1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.52,active
CHEMBL1682893,CNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.8,active
CHEMBL1682894,CCNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.34,active
CHEMBL1682895,CCCNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,test,True,7.42,active
CHEMBL1682896,CC(C)NC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,n1c[nH]cc1Cc2ccc3ccccc3c2,classification,stratified,train,True,7.12,active
