algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_accuracy,train_f1,train_inference_time_ns,train_mcc,train_precision,train_sensitivity,train_specificity,test_accuracy,test_f1,test_inference_time_ns,test_mcc,test_precision,test_sensitivity,test_specificity,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
hgb,False,2445.435546875,Substructure,random,hcv_ns3,0.743801652892562,0.7387833536333381,17855570,0.618561226743019,0.7460931301230689,0.743801652892562,,0.8021978021978022,0.7988603988603988,11637656,0.7029856797802897,0.8129666720799724,0.8021978021978022,,0.6391184573002755,0.6446280991735537,0.6611570247933884,0.6115702479338843,,,,,True,,0.01,,0.01,None,,1000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.08999999999999998
svm,True,521.51171875,Substructure,random,hcv_ns3,0.9122807017543859,0.9180327868852459,3346953,0.8242599508051089,0.9333333333333333,0.9032258064516129,0.9230769230769231,0.9298245614035088,0.9333333333333333,2517642,0.8592592592592593,0.9333333333333333,0.9333333333333333,0.9259259259259259,0.9078947368421053,0.8947368421052632,0.9210526315789473,0.9078947368421053,200.0,,0.5,3.0,,0.005,,,,,,,,,,,,,,,22.0,False,,,90,0.08999999999999998
svm,False,541.287109375,Substructure,random,hcv_ns3,0.7300275482093664,0.723469095817853,7157500,0.598655790159054,0.7277824556339073,0.7300275482093664,,0.7912087912087912,0.7912949795302737,3437841,0.682354601318902,0.7916657147426379,0.7912087912087912,,0.6446280991735537,0.6198347107438017,0.6611570247933884,0.6528925619834711,100.0,,0.1,2.0,,1.0,,,,,,,,,,,,,,,22.0,False,,,80,0.15999999999999998
dt,True,188.0732421875,Substructure,random,hcv_ns3,0.8991228070175439,0.9105058365758755,2301575,0.7978169434284739,0.8796992481203008,0.9435483870967742,0.8461538461538461,0.8947368421052632,0.9090909090909091,2363262,0.8050764858994133,0.8333333333333334,1.0,0.7777777777777778,0.9078947368421053,0.8947368421052632,0.9342105263157895,0.8947368421052632,,,,,,,,,,10,sqrt,,1.0,8.0,,,,,,,22.0,,,,80,0.08999999999999998
dt,False,192.005859375,Substructure,random,hcv_ns3,0.71900826446281,0.708493782710057,2363070,0.5925089572876464,0.7357658997886597,0.71900826446281,,0.6373626373626373,0.631085581085581,2235032,0.46491315633713515,0.6425406390844179,0.6373626373626373,,0.6418732782369146,0.6859504132231405,0.6446280991735537,0.5950413223140496,,,,,,,,,,None,log2,,2.0,4.0,,,,,,,22.0,,,,80,0.08999999999999998
knn,True,537.7978515625,Substructure,random,hcv_ns3,0.9342105263157895,0.9402390438247012,19375061,0.8673980590256333,0.9291338582677166,0.9516129032258065,0.9134615384615384,0.9298245614035088,0.9375,18604878,0.8669682733111429,0.8823529411764706,1.0,0.8518518518518519,0.912280701754386,0.9473684210526315,0.9342105263157895,0.8552631578947368,,ball_tree,,,,,,10.0,,,,,,,,,-1.0,7.0,,1.0,,,,distance,90,0.08999999999999998
knn,False,614.107421875,Substructure,random,hcv_ns3,0.7823691460055097,0.7757179326439599,29768910,0.6854851970039151,0.7994781265143693,0.7823691460055097,,0.8461538461538461,0.8468073280103355,19262372,0.772868553199759,0.8567481369205507,0.8461538461538461,,0.6611570247933884,0.7024793388429752,0.6859504132231405,0.5950413223140496,,kd_tree,,,,,,10.0,,,,,,,,,-1.0,7.0,,1.0,,,,distance,90,0.08999999999999998
rf,True,2125.66015625,Substructure,stratified,hcv_ns3,0.9254385964912281,0.9300411522633745,27070330,0.8505520109176873,0.9186991869918699,0.9416666666666667,0.9074074074074074,0.9298245614035088,0.9375,22105063,0.8669682733111429,1.0,0.8823529411764706,1.0,0.912280701754386,0.881578947368421,0.9342105263157895,0.9210526315789473,,,,,,,,,,None,None,,2.0,8.0,500.0,,,,True,,22.0,,True,,100,0.08999999999999998
rf,False,7886.45703125,Substructure,stratified,hcv_ns3,0.7493112947658402,0.7447504148471096,62626012,0.6314812405550988,0.7566029076332876,0.7493112947658402,,0.7142857142857143,0.7093774659936591,46284846,0.574685852884852,0.7122922759527535,0.7142857142857143,,0.6473829201101929,0.6942148760330579,0.6528925619834711,0.5950413223140496,,,,,,,,,,10,sqrt,,2.0,3.0,1000.0,,,,True,,22.0,,True,,90,0.15999999999999998
hgb,True,2169.5859375,Substructure,stratified,hcv_ns3,0.9342105263157895,0.9392712550607287,17226000,0.8692867783178171,0.9133858267716536,0.9666666666666667,0.8981481481481481,0.9298245614035088,0.9411764705882353,13479051,0.8542199488491049,0.9411764705882353,0.9411764705882353,0.9130434782608695,0.899122807017544,0.868421052631579,0.9210526315789473,0.9078947368421053,,,,,True,,0.0,,0.01,10,,1000.0,8.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
hgb,False,2258.4755859375,Substructure,stratified,hcv_ns3,0.7327823691460055,0.729217155630786,77387769,0.6015487791416683,0.7335425601182076,0.7327823691460055,,0.7362637362637363,0.7312425361278801,12431151,0.6073402477140892,0.7337337337337337,0.7362637362637363,,0.6336088154269972,0.6694214876033058,0.6446280991735537,0.5867768595041323,,,,,True,,0.1,,0.01,50,,1000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.08999999999999998
svm,True,523.1162109375,Substructure,stratified,hcv_ns3,0.9035087719298246,0.9098360655737705,3274048,0.8066237581640087,0.8951612903225806,0.925,0.8796296296296297,0.8947368421052632,0.90625,2521646,0.7953491550810919,0.9666666666666667,0.8529411764705882,0.9565217391304348,0.912280701754386,0.881578947368421,0.9210526315789473,0.9342105263157895,100.0,,0.0,3.0,,0.005,,,,,,,,,,,,,,,22.0,True,,,80,0.08999999999999998
svm,False,544.1865234375,Substructure,stratified,hcv_ns3,0.7713498622589532,0.7689742794629812,7422064,0.6596837326944942,0.7737641655428871,0.7713498622589532,,0.7582417582417582,0.7550870739430062,3547282,0.6399131019610719,0.7571663700695959,0.7582417582417582,,0.6391184573002754,0.7024793388429752,0.6115702479338843,0.6033057851239669,300.0,,0.0,2.0,,1.0,,,,,,,,,,,,,,,22.0,True,,,80,0.15999999999999998
dt,True,190.1044921875,Substructure,stratified,hcv_ns3,0.9210526315789473,0.926829268292683,2280580,0.8424062581474279,0.9047619047619048,0.95,0.8888888888888888,0.8947368421052632,0.9090909090909091,2215796,0.78639730169459,0.9375,0.8823529411764706,0.9130434782608695,0.8903508771929824,0.8552631578947368,0.8947368421052632,0.9210526315789473,,,,,,,,,,10,log2,,1.0,3.0,,,,,,,22.0,,,,80,0.08999999999999998
dt,False,191.2255859375,Substructure,stratified,hcv_ns3,0.7107438016528925,0.7039995722495985,2899221,0.5777757271269564,0.7228264008383968,0.7107438016528925,,0.6923076923076923,0.6861837852549926,2301219,0.5428096266856617,0.690704710015055,0.6923076923076923,,0.6418732782369146,0.6942148760330579,0.6694214876033058,0.5619834710743802,,,,,,,,,,30,sqrt,,2.0,3.0,,,,,,,22.0,,,,90,0.15999999999999998
knn,True,472.48046875,Substructure,stratified,hcv_ns3,0.8728070175438597,0.8806584362139918,48012672,0.7448127205745942,0.8699186991869918,0.8916666666666667,0.8518518518518519,0.8771929824561403,0.8888888888888888,38121452,0.7655057264959378,0.9655172413793104,0.8235294117647058,0.9565217391304348,0.8947368421052632,0.8552631578947368,0.9342105263157895,0.8947368421052632,,brute,,,,,,40.0,,,,,,,,,-1.0,7.0,,2.0,,,,uniform,80,0.08999999999999998
knn,False,571.3857421875,Substructure,stratified,hcv_ns3,0.696969696969697,0.6866189599186239,31810916,0.5596443701250674,0.7100158029378629,0.696969696969697,,0.6373626373626373,0.6267567340441835,24032905,0.46845206563541053,0.6492840492840493,0.6373626373626373,,0.6611570247933884,0.7272727272727273,0.6859504132231405,0.5702479338842975,,kd_tree,,,,,,50.0,,,,,,,,,-1.0,7.0,,1.0,,,,uniform,80,0.08999999999999998
rf,True,855.447265625,Substructure,strict,hcv_ns3,0.8858267716535433,0.8913857677902621,7182665,0.7713021304418739,0.9015151515151515,0.8814814814814815,0.8907563025210085,0.9354838709677419,0.9473684210526315,6204110,0.8640350877192983,0.9473684210526315,0.9473684210526315,0.9166666666666666,0.8875502008032129,0.927710843373494,0.8072289156626506,0.927710843373494,,,,,,,,,,None,sqrt,,4.0,2.0,100.0,,,,True,,22.0,,True,,80,0.08999999999999998
rf,False,3383.3857421875,Substructure,strict,hcv_ns3,0.6741293532338308,0.6683895310953625,30906599,0.5139384775428565,0.6692005479318912,0.6741293532338308,,0.7692307692307693,0.7720279720279721,22384988,0.6430262969680957,0.7841658341658342,0.7692307692307693,,0.6338383838383838,0.5909090909090909,0.6666666666666666,0.6439393939393939,,,,,,,,,,20,None,,4.0,4.0,500.0,,,,True,,22.0,,True,,90,0.15999999999999998
hgb,True,913.7861328125,Substructure,strict,hcv_ns3,0.8976377952755905,0.9015151515151515,12472864,0.7959628614066342,0.9224806201550387,0.8814814814814815,0.9159663865546218,0.9354838709677419,0.9473684210526315,7069993,0.8640350877192983,0.9473684210526315,0.9473684210526315,0.9166666666666666,0.8835341365461847,0.9036144578313253,0.8192771084337349,0.927710843373494,,,,,True,,0.01,,0.01,50,,1000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.15999999999999998
hgb,False,2459.8759765625,Substructure,strict,hcv_ns3,0.7611940298507462,0.7602668889027417,18346459,0.6420432099651928,0.7641400548610819,0.7611940298507462,,0.8269230769230769,0.8263200214419727,11094084,0.7435925291204976,0.8502331002331002,0.8269230769230769,,0.6338383838383838,0.5681818181818182,0.6590909090909091,0.6742424242424242,,,,,True,,0.01,,0.01,20,,1000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.08999999999999998
svm,True,525.6953125,Substructure,strict,hcv_ns3,0.8858267716535433,0.8921933085501859,3639280,0.7708820251332206,0.8955223880597015,0.8888888888888888,0.8823529411764706,0.967741935483871,0.9743589743589743,2464476,0.9331845119446278,0.95,1.0,0.9166666666666666,0.891566265060241,0.927710843373494,0.8313253012048193,0.9156626506024096,300.0,,0.1,4.0,,0.001,,,,,,,,,,,,,,,22.0,False,,,80,0.08999999999999998
svm,False,567.9111328125,Substructure,strict,hcv_ns3,0.6592039800995025,0.6487319947526132,9433544,0.4934866338869567,0.6624897285416875,0.6592039800995025,,0.7307692307692307,0.7245465916197623,3304261,0.5750627173213442,0.7249000999001,0.7307692307692307,,0.6287878787878788,0.5681818181818182,0.6666666666666666,0.6515151515151515,100.0,,0.1,3.0,,0.005,,,,,,,,,,,,,,,22.0,True,,,80,0.08999999999999998
dt,True,187.6474609375,Substructure,strict,hcv_ns3,0.8779527559055118,0.8864468864468864,2339242,0.7547793542750754,0.8768115942028986,0.8962962962962963,0.8571428571428571,0.8387096774193549,0.8717948717948718,2362167,0.6563546567266043,0.85,0.8947368421052632,0.75,0.8795180722891566,0.9156626506024096,0.8072289156626506,0.9156626506024096,,,,,,,,,,None,log2,,2.0,4.0,,,,,,,22.0,,,,80,0.15999999999999998
dt,False,189.0849609375,Substructure,strict,hcv_ns3,0.6716417910447762,0.6626863131168075,2394112,0.5135030585195304,0.6686832584236213,0.6716417910447762,,0.7115384615384616,0.7018723911747168,2159772,0.6069586445438102,0.7880608974358974,0.7115384615384616,,0.6287878787878788,0.6287878787878788,0.5984848484848485,0.6590909090909091,,,,,,,,,,10,sqrt,,4.0,2.0,,,,,,,22.0,,,,100,0.08999999999999998
knn,True,531.2900390625,Substructure,strict,hcv_ns3,0.9448818897637795,0.9507042253521126,21478499,0.8941181665176042,0.9060402684563759,1.0,0.8823529411764706,0.9032258064516129,0.926829268292683,20166536,0.8048150549829897,0.8636363636363636,1.0,0.75,0.891566265060241,0.9036144578313253,0.8313253012048193,0.9397590361445783,,ball_tree,,,,,,20.0,,,,,,,,,-1.0,9.0,,1.0,,,,distance,80,0.08999999999999998
knn,False,503.52734375,Substructure,strict,hcv_ns3,0.664179104477612,0.6562447037197663,45266150,0.5039232803948381,0.6656225582482457,0.664179104477612,,0.6538461538461539,0.623642449073807,29165847,0.5746688247853725,0.816735347985348,0.6538461538461539,,0.6313131313131314,0.6136363636363636,0.6439393939393939,0.6363636363636364,,brute,,,,,,20.0,,,,,,,,,-1.0,9.0,,1.0,,,,uniform,80,0.08999999999999998
rf,True,805.8740234375,AtomPairs2DCount,random,hcv_ns34a,0.9973404255319149,0.9985141158989599,9474450,0.9859547783371284,1.0,0.9970326409495549,1.0,0.9893617021276596,0.9938650306748467,8663034,0.9548926051811499,1.0,0.9878048780487805,1.0,0.9841058201058202,0.9603174603174603,1.0,0.992,,,,,,,,,,None,sqrt,,1.0,2.0,100.0,,,,True,,22.0,,True,,80,0.08999999999999998
rf,False,1034.5400390625,AtomPairs2DCount,random,hcv_ns34a,0.9671717171717171,0.9615774178647823,10825069,0.8570827107279633,0.9648011044791347,0.9671717171717171,,0.9292929292929293,0.927255214645244,8643112,0.8082394497081394,0.9262885262885264,0.9292929292929293,,0.9368686868686869,0.9393939393939394,0.9318181818181818,0.9393939393939394,,,,,,,,,,10,sqrt,,2.0,4.0,100.0,,,,True,,22.0,,True,,80,0.15999999999999998
hgb,True,1026.619140625,AtomPairs2DCount,random,hcv_ns34a,0.9973404255319149,0.9985141158989599,20958065,0.9859547783371284,1.0,0.9970326409495549,1.0,0.9893617021276596,0.9938650306748467,25363850,0.9548926051811499,1.0,0.9878048780487805,1.0,0.9814391534391534,0.9603174603174603,0.992,0.992,,,,,True,,0.1,,0.01,50,,1000.0,16.0,,,100.0,,,,,22.0,,True,,80,0.08999999999999998
hgb,False,907.236328125,AtomPairs2DCount,random,hcv_ns34a,0.9671717171717171,0.9663503821444273,21218496,0.8600367544900543,0.9658176460284587,0.9671717171717171,,0.9494949494949495,0.9481448062093224,14420663,0.8628566260230957,0.9493457784597024,0.9494949494949495,,0.9292929292929294,0.9090909090909091,0.9545454545454546,0.9242424242424242,,,,,True,,0.1,,0.01,None,,99999999.0,32.0,,,100.0,,,,,22.0,,True,,90,0.15999999999999998
svm,True,588.59765625,AtomPairs2DCount,random,hcv_ns34a,0.9813829787234043,0.9895988112927192,7186018,0.901083213168914,0.9910714285714286,0.9881305637982196,0.9230769230769231,0.9893617021276596,0.9938650306748467,4784106,0.9548926051811499,1.0,0.9878048780487805,1.0,0.9841058201058202,0.9603174603174603,1.0,0.992,1.0,,0.0,2.0,,0.001,,,,,,,,,,,,,,,22.0,True,,,80,0.15999999999999998
svm,False,642.41015625,AtomPairs2DCount,random,hcv_ns34a,0.9671717171717171,0.9659389662502987,9136331,0.8631727293342142,0.9654439128123339,0.9671717171717171,,0.9292929292929293,0.9248666102498544,5356288,0.8105882997678978,0.922794021189743,0.9292929292929293,,0.9292929292929294,0.9545454545454546,0.8939393939393939,0.9393939393939394,10.0,,0.0,2.0,,0.001,,,,,,,,,,,,,,,22.0,True,,,80,0.15999999999999998
