algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_inference_time_ns,train_mae,train_pearson,train_r2,train_rmse,test_inference_time_ns,test_mae,test_pearson,test_r2,test_rmse,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
hgb,False,1571.427734375,MACCS,strict,homosapiens_cyp17a1,11752678,0.3801541749845676,0.8806041544549269,0.7661335422725101,0.537190695245991,8124250,0.39763097466359437,0.8877987003001921,0.7694844197618467,0.5316864310959366,0.5675099447791363,0.5188927289227008,0.5950689494883218,0.5885681559263862,,,,,True,,0.01,,0.01,20,,10000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.15999999999999998
svm,False,840.8505859375,MACCS,strict,homosapiens_cyp17a1,18723887,0.30991273678830145,0.8879041186025229,0.7879008897980918,0.5115804458233695,6870453,0.2956223248719055,0.9132005612696162,0.8334513249903417,0.45193505152683194,0.5862469368323081,0.5579146003710994,0.6468712661292496,0.5539549439965752,100.0,,0.1,4.0,,0.01,,,,,,,,,,,,,,,,False,,,90,0.15999999999999998
dt,False,191.6064453125,MACCS,strict,homosapiens_cyp17a1,2034033,0.4979968109798798,0.7906982919699993,0.6249040368717397,0.6803238682514299,1823705,0.4850222606379769,0.8147060774402674,0.6578843318825591,0.647726875466046,0.453321637313105,0.4308023790603708,0.4463591248487614,0.4828034080301826,,,,,,,,,,20,sqrt,,4.0,3.0,,,,,,,22.0,,,,80,0.15999999999999998
knn,False,1336.6689453125,MACCS,strict,homosapiens_cyp17a1,39751531,0.4171517509727627,0.850083631171982,0.7161011616375073,0.5918699904566145,32394899,0.38210650887573977,0.8684894202732392,0.7466857173992014,0.5573593276498952,0.5270804936375592,0.4990890355013956,0.5685696591587027,0.513582786252579,,ball_tree,,,,,,10.0,,,,,,,,,-1.0,5.0,,1.0,,,,uniform,100,0.08999999999999998
rf,False,3583.947265625,PubChem,random,homosapiens_cyp17a1,14988849,0.3091504438683008,0.9207252121889811,0.8406139120975303,0.45297857064685204,10207782,0.2992219172774177,0.9225462045982847,0.8366665020329485,0.44360313412964264,0.6204517001512891,0.5976718618654518,0.5673064910918748,0.6963767474965409,,,,,,,,,,20,sqrt,,1.0,3.0,100.0,,,,True,,22.0,,True,,90,0.08999999999999998
hgb,False,1251.765625,PubChem,random,homosapiens_cyp17a1,31518169,0.42261957535332245,0.8591656230377481,0.736211956346534,0.5827469444017879,13854724,0.39364989488936764,0.8781941908587183,0.763937906940483,0.5332981794040095,0.6061249098930533,0.544836252272812,0.5722624276375258,0.7012760497688222,,,,,True,,0.01,,0.01,None,,99999999.0,32.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,1290.0478515625,PubChem,random,homosapiens_cyp17a1,40805839,0.3041664800622614,0.9048876189057976,0.8185398203618064,0.4833292959364347,13514754,0.2665729523956753,0.9187620358972995,0.8411532752564576,0.4374678145922402,0.6108269276096946,0.5761826567682216,0.5529510520934533,0.7033470739674087,10.0,,0.0,2.0,,0.01,,,,,,,,,,,,,,,,False,,,100,0.08999999999999998
dt,False,212.3740234375,PubChem,random,homosapiens_cyp17a1,5055885,0.38447507122507124,0.8728965317160213,0.7612755513840479,0.5543715072417529,4448140,0.40721463329857494,0.8258713862978674,0.6648146963275111,0.6354764468569931,0.5240596143096641,0.4651491449785268,0.46576652836066823,0.6412631695897972,,,,,,,,,,30,None,,4.0,4.0,,,,,,,22.0,,,,90,0.08999999999999998
knn,False,1256.140625,PubChem,random,homosapiens_cyp17a1,47789158,0.33645299145299146,0.8927531930902611,0.7965503487498543,0.5117771911348663,36568167,0.37980535279805355,0.8656841306682748,0.7421419411419377,0.5573747990954261,0.6034897240140762,0.6386710044071193,0.5235132392963471,0.6482849283387622,,auto,,,,,,10.0,,,,,,,,,-1.0,3.0,,1.0,,,,uniform,100,0.08999999999999998
rf,False,24296.7666015625,PubChem,stratified,homosapiens_cyp17a1,99000665,0.31550703406976394,0.919103118589646,0.8386127784756807,0.4439848607817548,64588110,0.37698173350402636,0.9017311961480631,0.7956521340044084,0.5424077739969012,0.6029373727009026,0.6333665449140131,0.5509934017117417,0.6244521714769531,,,,,,,,,,30,sqrt,,1.0,4.0,1000.0,,,,True,,22.0,,True,,80,0.08999999999999998
hgb,False,2913.1240234375,PubChem,stratified,homosapiens_cyp17a1,33012857,0.31600725668902435,0.9077115535962188,0.8239039197718367,0.4637761742466193,19418173,0.38095543701092205,0.9065385537415475,0.8137613519525577,0.5178163476822747,0.608915447963844,0.6433195245204938,0.5610877196431596,0.6223390997278786,,,,,True,,0.1,,0.01,None,,1000.0,16.0,,,100.0,,,,,22.0,,True,,80,0.08999999999999998
svm,False,1256.5947265625,PubChem,stratified,homosapiens_cyp17a1,47084615,0.2978818874587085,0.904178389165191,0.817537372614957,0.4720853803588952,15052078,0.3260317716411537,0.9059578657399749,0.8164122499662988,0.5141178724956273,0.6106572578084868,0.658223696365656,0.5268318045781915,0.6469162724816129,10.0,,0.0,4.0,,0.01,,,,,,,,,,,,,,,,True,,,90,0.08999999999999998
dt,False,218.603515625,PubChem,stratified,homosapiens_cyp17a1,5030987,0.3597119745334032,0.8635832262447664,0.740111253381992,0.5634136006313958,4483858,0.3981541536322558,0.842288377980511,0.7080487693288151,0.6483298344374255,0.4964872213271964,0.5426127984001239,0.4679100295679205,0.47893883601354503,,,,,,,,,,None,sqrt,,1.0,8.0,,,,,,,22.0,,,,80,0.08999999999999998
knn,False,1800.1708984375,PubChem,stratified,homosapiens_cyp17a1,52328029,0.3410989010989011,0.8894926247202326,0.7905487088603824,0.5057956734979683,36603362,0.4125304136253041,0.8524247012638563,0.722743272310425,0.6318033125829228,0.5855109162903306,0.6491905477183261,0.5450755027452965,0.5622666984073692,,ball_tree,,,,,,40.0,,,,,,,,,-1.0,3.0,,1.0,,,,uniform,80,0.08999999999999998
rf,False,3727.3076171875,PubChem,strict,homosapiens_cyp17a1,14358456,0.3323023352549958,0.9054809454300756,0.8096579621862028,0.48463175793117563,12378806,0.3239210196870846,0.9317394340760462,0.847693952174114,0.4321793474304855,0.5866907430429483,0.5692092709263087,0.5954494800396182,0.5954134781629181,,,,,,,,,,None,log2,,1.0,3.0,100.0,,,,True,,22.0,,True,,80,0.08999999999999998
hgb,False,2222.8505859375,PubChem,strict,homosapiens_cyp17a1,34354324,0.3597391197296309,0.8872699504249051,0.7829750750312832,0.517486852204207,14455335,0.3734149781251046,0.9092695841299205,0.8068460342894364,0.4866954090491809,0.5689062555042866,0.5409458642364853,0.5633280678568571,0.6024448344195175,,,,,True,,0.01,,0.01,20,,99999999.0,16.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,1245.7666015625,PubChem,strict,homosapiens_cyp17a1,43813584,0.322560245705577,0.8929362283619192,0.7962005042972119,0.5014712798811267,16639996,0.2656838257135122,0.9339485877948827,0.8689317023277031,0.40091680840874916,0.5854024136882937,0.5134419731037497,0.6038605197448134,0.6389047482163182,10.0,,0.5,4.0,,0.01,,,,,,,,,,,,,,,,False,,,90,0.08999999999999998
dt,False,210.8037109375,PubChem,strict,homosapiens_cyp17a1,5289300,0.4292334234136595,0.8192108534713466,0.6702595293706916,0.6378677416560934,4954011,0.36536575189042503,0.88565704063449,0.7828532193706288,0.5160385336458636,0.46629413619957916,0.45110332665165864,0.43838941880216475,0.509389663144914,,,,,,,,,,10,None,,4.0,3.0,,,,,,,22.0,,,,90,0.08999999999999998
knn,False,1968.462890625,PubChem,strict,homosapiens_cyp17a1,42746806,0.15986534003781364,0.9410925941869334,0.8855630375662025,0.3757748183625268,33126029,0.12470344315627736,0.9630667490626241,0.9269187621667664,0.29937007238596824,0.5462539893067819,0.5266835303739903,0.5348490647567892,0.5772293727895663,,kd_tree,,,,,,40.0,,,,,,,,,-1.0,3.0,,1.0,,,,distance,90,0.08999999999999998
